compound_candidate_member_id,compound_candidate_id,source_row_hash,source_compound_key,plant_id,canonical_plant_id,c_id,cas_id,metabolite,normalized_metabolite_name,normalized_metabolite_key,normalized_cas_id,normalized_cas_key,normalized_formula,normalized_formula_key,normalization_status,review_reason,chosen_pubchem_cid,chosen_chembl_id,chosen_inchi_key,chosen_smiles,member_enrichment_status,member_confidence
cmpcandm_1dafcddf5a3ba703,cmpcand_8ed6995db2011230,6d30e23cc875e86e2b7c43131d2e7955b03bf4614a1d02cf66e67e664d316d0f,39d211bf69a8108c1b24ff18de54f48e1d6dfb8d7bee52940b26e15ecf3cbbdf,256,5eb02004-fb3d-5f01-bf78-7973d0270dc3,C00063647,11014-14-5,Indicinine,Indicinine,indicinine,11014-14-5,11014145,,,ready,,,,,,review,0.3000
cmpcandm_a86c77f4de042856,cmpcand_cbbc0bd664b857b0,7264034883a744cd9da9af283587b4c56e99bc8ec0744bd54dcf1c6137dbe268,1a566bd536a910fdd4fea302c051cfb7e23dfb8540ceca738d14e4ca1225b2c2,11,0ab2659c-3ebf-550f-851f-291b95753a80,C00063765,130525-73-4,Uronic acid,Uronic acid,uronic_acid,130525-73-4,130525734,,,ready,,,,,,review,0.3000
cmpcandm_85ba5e8400d6d311,cmpcand_7c0c8b884f7c6ed1,9c3eed9d11a571cb83b0fd5dc49b2241da44050e9747980d44cdf33b2c99eab5,33f18f56a13841c3756cca9b67f72d12882e926fd7723b356f964034aaccebec,61,6ce361f3-5493-50d8-976f-54699df3da9c,C00063789,131641-50-4,Meliacin,Meliacin,meliacin,131641-50-4,131641504,,,ready,,,,,,review,0.3000
cmpcandm_058383d1c8a74b33,cmpcand_1691251c996fac5f,56dd4d97e687a8a0b978b5a292ff34b5f0d7ef7b88cc12fd0bccc2e3d451c41a,b6b299e5daa2f510588998fcbebfa49923c54f3e839a8e06056f455eb9c8bdf7,354,e104fc82-a836-50c5-9dbb-5546e38ee23e,C00063837,1392-40-1,Melanthin,Melanthin,melanthin,1392-40-1,1392401,,,ready,,,,,,review,0.3000
cmpcandm_aa3387a1b4b1df90,cmpcand_4041bc4c139ee49d,8386cd7997681c538312525cac07343e4d91e6c89918dde8fc6c6da313ff2db9,35774ca762468ac869dd222e4f9cb765e22064d04c2b1182e4075db3c85a6587,61,6ce361f3-5493-50d8-976f-54699df3da9c,C00063847,1407-80-3,Nimbidin,Nimbidin,nimbidin,1407-80-3,1407803,,,ready,,,,,,review,0.3000
cmpcandm_b85ec466a9425060,cmpcand_b98b3ebb1548cd58,561a575d9d92a800adea1f0598aa33dd839f69cd4d9ac1ae13f24380e3591a6d,793554eb0316ea104265378cd5dc451eae5bce8112df9b8db47e7708db9110d2,354,e104fc82-a836-50c5-9dbb-5546e38ee23e,C00064269,308061-34-9,Aliphatic alcohol,Aliphatic alcohol,aliphatic_alcohol,308061-34-9,308061349,,,ready,,,,,,review,0.3000
cmpcandm_5890d588a4fe3d1e,cmpcand_398f55512871162f,6d4092b3a166a15bd5b20f9f3261b7e3d669d3f66ae62d92e9078f4f8bd5107d,e1f512dc5868b0537f81feba6b8a363a677f3ec43cfd83fc3f8fd70c93fa16c0,9,07bd77ec-8d26-5198-80b6-747f38900216,C00064309,37279-84-8,Betalain,Betalain,betalain,37279-84-8,37279848,,,ready,,,,,,review,0.3000
cmpcandm_fa09c6ed559c212a,cmpcand_3be7880e918a127b,a759ef959b4327dbd6c30d9cdbc35125762e4eb582621ab1732e4b0690eb46fb,70d496222d8de6fca0bf043b814479ea7172e3f3933458ca269d2dd1657793d1,511,1c0845b4-f8f7-5635-8668-3cb4cb68d12d,C00064652,99753-13-6,Trigofoenoside E,Trigofoenoside E,trigofoenoside_e,99753-13-6,99753136,,,ready,,,,,,review,0.3000
cmpcandm_9f310d7f30447fdf,cmpcand_30c046df3d95dd88,c36bbffb09f43b7d1cef5bf124ae79292462fe923b5058319007f908b6361420,a4717a214a39fa0d16a7d23aadeed47e4172a0ba17ca77a67bc225dff2cd8a9f,456,65a5ff2b-a821-5ce0-bb10-b6b87d46b0bc,C00002626,100016-94-2,Sesamolinol,Sesamolinol,sesamolinol,100016-94-2,100016942,C20H20O7,c20h20o7,ready,,,,OJVGWDJIYBTWDS-AFHBHXEDSA-N,COc1cc(O[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc3c(c2)OCO3)ccc1O,matched,0.9700
cmpcandm_8e9ccaf070b669f9,cmpcand_207565d38967bdb3,b712509366c9fe273ba2e378194e4cc6ff91ce25ce0537113aa9945b2debd98d,290aa775cc130f59e52d26527303f3ef4965689be4711b8818f88ae867cc0ffd,125,4e8f99ab-f088-5520-b1bb-41309509d188,C00056297,1000415-55-3,"8-Hydroxy-3',4',5,6,7-pentamethoxyflavone","8-Hydroxy-3',4',5,6,7-pentamethoxyflavone",8hydroxy34567pentamethoxyflavone,1000415-55-3,1000415553,C20H20O8,c20h20o8,ready,,,,ZXIGNVHISSXSRV-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(O)c3o2)cc1OC,matched,0.9700
cmpcandm_56a7d227dd676b1c,cmpcand_b66d0a94401c53f9,0fa3765c97ee7e5efeb611ac343423dbc272fa2a567e6653b2e60aa50c4e191d,b45408480bb20957933e32b1cd8a546be4dcecef2cedb46ad070bc86a4db706a,125,4e8f99ab-f088-5520-b1bb-41309509d188,C00056298,1000415-56-4,"8-Hydroxy-3,3',4',5,6,7-hexamethoxyflavone","8-Hydroxy-3,3',4',5,6,7-hexamethoxyflavone",8hydroxy334567hexamethoxyflavone,1000415-56-4,1000415564,C21H22O9,c21h22o9,ready,,,,UGLYUURCCQYFOV-UHFFFAOYSA-N,COc1ccc(-c2oc3c(O)c(OC)c(OC)c(OC)c3c(=O)c2OC)cc1OC,matched,0.9700
