compound_candidate_member_id,compound_candidate_id,source_row_hash,source_compound_key,plant_id,canonical_plant_id,c_id,cas_id,metabolite,normalized_metabolite_name,normalized_metabolite_key,normalized_cas_id,normalized_cas_key,normalized_formula,normalized_formula_key,normalization_status,review_reason,chosen_pubchem_cid,chosen_chembl_id,chosen_inchi_key,chosen_smiles,member_enrichment_status,member_confidence
cmpcandm_84c401f2ca76eb09,cmpcand_8ed6995db2011230,a8a08d67e95dc13008fade4aa80599aa63938229ecf6907548c46c44987a160f,39d211bf69a8108c1b24ff18de54f48e1d6dfb8d7bee52940b26e15ecf3cbbdf,256,5eb02004-fb3d-5f01-bf78-7973d0270dc3,C00063647,11014-14-5,Indicinine,Indicinine,indicinine,11014-14-5,11014145,,,ready,,,CHEMBL1795550,KEAYVGHLOUCYNN-WAYWQWQTSA-N,CCCC/C=C\CCCCCCCCCCCCCc1cc(O)cc(O)c1,ambiguous,0.3000
cmpcandm_e7475a97b7c20f23,cmpcand_cbbc0bd664b857b0,1dea277cfeeb9c5aa4fee176a78be034576ce91e2139bc3594a656f09ea3e27e,1a566bd536a910fdd4fea302c051cfb7e23dfb8540ceca738d14e4ca1225b2c2,11,0ab2659c-3ebf-550f-851f-291b95753a80,C00063765,130525-73-4,Uronic acid,Uronic acid,uronic_acid,130525-73-4,130525734,,,ready,,,CHEMBL3659241,NQQBBJXZLPRCDS-UHFFFAOYSA-N,Cc1ccc(N(C)C)c(C(=O)N2C3CCC2C(COc2ccccn2)C3)n1,ambiguous,0.3000
cmpcandm_f10aab5c0ff7fd6a,cmpcand_7c0c8b884f7c6ed1,714284e65cf45caf58b99c8825f31bb321a65570f97e6300b66764e6faaaf3cd,33f18f56a13841c3756cca9b67f72d12882e926fd7723b356f964034aaccebec,61,6ce361f3-5493-50d8-976f-54699df3da9c,C00063789,131641-50-4,Meliacin,Meliacin,meliacin,131641-50-4,131641504,,,ready,,,CHEMBL3644307,SBZAFQICIAOQAM-ZRBRQIMBSA-N,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(C(N)=O)cc2)NC1=O,ambiguous,0.3000
cmpcandm_40b37ef06f708b0c,cmpcand_1691251c996fac5f,69ef98bd57536f96861785c229ac389e3d5981ba3e2bc50f50ccf034c0442a4e,b6b299e5daa2f510588998fcbebfa49923c54f3e839a8e06056f455eb9c8bdf7,354,e104fc82-a836-50c5-9dbb-5546e38ee23e,C00063837,1392-40-1,Melanthin,Melanthin,melanthin,1392-40-1,1392401,,,ready,,,CHEMBL3656159,TWSDZWSGUIOPLA-UHFFFAOYSA-N,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2ccccc2C1,ambiguous,0.3000
cmpcandm_6d04a02d36c86e2b,cmpcand_4041bc4c139ee49d,625b55f684e0ce897816a35da67e2511dc5032d8064daa3cb0de2cd73d361d05,35774ca762468ac869dd222e4f9cb765e22064d04c2b1182e4075db3c85a6587,61,6ce361f3-5493-50d8-976f-54699df3da9c,C00063847,1407-80-3,Nimbidin,Nimbidin,nimbidin,1407-80-3,1407803,,,ready,,,CHEMBL3644329,KGUGWSTVVPFRQU-FETROPEJSA-N,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](N)CN2C1=O,ambiguous,0.3000
cmpcandm_eb25e73ede5ef7eb,cmpcand_b98b3ebb1548cd58,f8f7426611c29c9f4cfcf3063a521234d06912a7470614c32928b5f421732513,793554eb0316ea104265378cd5dc451eae5bce8112df9b8db47e7708db9110d2,354,e104fc82-a836-50c5-9dbb-5546e38ee23e,C00064269,308061-34-9,Aliphatic alcohol,Aliphatic alcohol,aliphatic_alcohol,308061-34-9,308061349,,,ready,,259994,,DNIAPMSPPWPWGF-GSVOUGTGSA-N,,matched,0.9100
cmpcandm_3b9b66e7204127db,cmpcand_398f55512871162f,da195a1fb3372c78dceca0a54cc2b529fe80d017e1b57d41a4ec777a6d12196c,e1f512dc5868b0537f81feba6b8a363a677f3ec43cfd83fc3f8fd70c93fa16c0,9,07bd77ec-8d26-5198-80b6-747f38900216,C00064309,37279-84-8,Betalain,Betalain,betalain,37279-84-8,37279848,,,ready,,56841626,,DHHFDKNIEVKVKS-MLZDZRTESA-N,,matched,0.9900
cmpcandm_ff26525bac562c45,cmpcand_3be7880e918a127b,2ccd11ef4d99e3f6b3845cf3f56243f918a01a57562b7eb0f30b38cd2e7f68bd,70d496222d8de6fca0bf043b814479ea7172e3f3933458ca269d2dd1657793d1,511,1c0845b4-f8f7-5635-8668-3cb4cb68d12d,C00064652,99753-13-6,Trigofoenoside E,Trigofoenoside E,trigofoenoside_e,99753-13-6,99753136,,,ready,,,CHEMBL107595,BHZSSYKATBTKQN-TVQRCGJNSA-N,O=C(O)c1c(=O)c2cc(F)c(N3C[C@@H]4CCCN[C@@H]4C3)c3c2n2c(csc12)CS3,ambiguous,0.3000
cmpcandm_0762c6109a846ed2,cmpcand_30c046df3d95dd88,3e815754ee6bd02ba3644cae3aab3206255a16d3c596e67a58082709fc76bcd4,a4717a214a39fa0d16a7d23aadeed47e4172a0ba17ca77a67bc225dff2cd8a9f,456,65a5ff2b-a821-5ce0-bb10-b6b87d46b0bc,C00002626,100016-94-2,Sesamolinol,Sesamolinol,sesamolinol,100016-94-2,100016942,C20H20O7,c20h20o7,ready,,443019,,OJVGWDJIYBTWDS-AFHBHXEDSA-N,,conflict,0.9900
cmpcandm_854995ca9aebe8bf,cmpcand_207565d38967bdb3,a73132a03e7361a166c7c98c813a37f993b9ed178c54cb9dbcc226752a70231a,290aa775cc130f59e52d26527303f3ef4965689be4711b8818f88ae867cc0ffd,125,4e8f99ab-f088-5520-b1bb-41309509d188,C00056297,1000415-55-3,"8-Hydroxy-3',4',5,6,7-pentamethoxyflavone","8-Hydroxy-3',4',5,6,7-pentamethoxyflavone",8hydroxy34567pentamethoxyflavone,1000415-55-3,1000415553,C20H20O8,c20h20o8,ready,,163183962,,ZXIGNVHISSXSRV-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_257dc4c127ee5a20,cmpcand_b66d0a94401c53f9,93bf0ec90df6060ea036f89e27521011012e22f98149746f21c5059a5b77f680,b45408480bb20957933e32b1cd8a546be4dcecef2cedb46ad070bc86a4db706a,125,4e8f99ab-f088-5520-b1bb-41309509d188,C00056298,1000415-56-4,"8-Hydroxy-3,3',4',5,6,7-hexamethoxyflavone","8-Hydroxy-3,3',4',5,6,7-hexamethoxyflavone",8hydroxy334567hexamethoxyflavone,1000415-56-4,1000415564,C21H22O9,c21h22o9,ready,,134715240,,UGLYUURCCQYFOV-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_3e71207a919ff0b3,cmpcand_ba13fbe9eef00a26,a8ca427632b1d9195be4acf69c78907dc3b25f1d66b606cc61dd4900e8f4fcdf,af4948c73d1c8ba2c9e23792b4b297f253826cb640409d7a8b3e584647e3a9ca,233,32db5868-6422-5fc4-aadb-90479c36369d,C00052720,100-06-1,4'-Methoxyacetophenone,4'-Methoxyacetophenone,4methoxyacetophenone,100-06-1,100061,C9H10O2,c9h10o2,ready,,7476,,NTPLXRHDUXRPNE-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_540cb36569a83825,cmpcand_ba13fbe9eef00a26,c3276d88bc478cceb13c05357ad76b93b47ba15ee6aff2ca05e6cb5a9678a409,b70dc77618c477630b172efe1e1269e760343ab7d232385d02cc0a762d33fbcb,395,9b600c0d-c81c-5ef5-8513-a56c9b80a832,C00052720,100-06-1,4'-Methoxyacetophenone,4'-Methoxyacetophenone,4methoxyacetophenone,100-06-1,100061,C9H10O2,c9h10o2,ready,,7476,,NTPLXRHDUXRPNE-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_f0889128325aeea5,cmpcand_61d7ff37f7dc5849,6dd3f454066980e5234571d10a732677286b5541938d09a8dbc24393b0c06f36,047f4d96d4763fa2c5dc6c1123c7c317f839a1cb172bf143c6bc149b40644af3,449,086bc03b-81e5-5777-9c8d-c881b3b83e58,C00008259,100079-33-2,"5,7-Dihydroxy-8,2'-dimethoxyflavanone","5,7-Dihydroxy-8,2'-dimethoxyflavanone",57dihydroxy82dimethoxyflavanone,100079-33-2,100079332,C17H16O6,c17h16o6,ready,,21636235,,MHHPUBIEHKYLJL-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_fb058a82b6a85a40,cmpcand_e3b1e0b2750164a6,082b9afb801b8f8c110293a3ea605fcf39d1118524988c7382c8d9603924c8f9,291857a11d5c4bb3e4f14365708c99b3281f39f0cea2294eaba30eef2d07291f,449,086bc03b-81e5-5777-9c8d-c881b3b83e58,C00008260,100079-34-3,"7-Hydroxy-5,8,2'-trimethoxyflavanone","7-Hydroxy-5,8,2'-trimethoxyflavanone",7hydroxy582trimethoxyflavanone,100079-34-3,100079343,C18H18O6,c18h18o6,ready,,21636238,,FEIYIVGWSITXPN-AWEZNQCLSA-N,,conflict,0.9900
cmpcandm_623f27907d462aef,cmpcand_aed8de67e1a9880c,7c0de232b041a088314282be8706c76b064fdcd734705026b903f92b398d948d,c35e30781efc5e7deb9a0092ccb8876362774679a8749ce495435416e7417b6c,449,086bc03b-81e5-5777-9c8d-c881b3b83e58,C00006967,100079-39-8,"2',4'-Dihydroxy-2,3',6'-trimethoxychalcone","2',4'-Dihydroxy-2,3',6'-trimethoxychalcone",24dihydroxy236trimethoxychalcone,100079-39-8,100079398,C18H18O6,c18h18o6,ready,,21636239,,CRKKMWPCJTZZRE-CMDGGOBGSA-N,,conflict,0.9900
cmpcandm_d13752e92a727b09,cmpcand_c0805dbc068501ad,b3d6f555333325f88205ea38562912463098c6e7ee5764e09f4c2f10f373ffc9,f83bd49f08c1db3fa71e1ed67b9c93390e9f4928b2c4dbfe9b2287f4ad018185,114,ccb63bb3-cf7e-5c58-b0ed-13b75135b29e,C00055277,1000808-24-1,Centellin,Centellin,centellin,1000808-24-1,1000808241,C15H22O3,c15h22o3,ready,,163184102,,XQQSULFEUQBCLQ-MDZDMXLPSA-N,,conflict,0.9900
cmpcandm_12e729a1989ea8df,cmpcand_734a3b12df4ef6d9,74f419c4067bfaba0e1d51f158c218f9089ceff889ee5240ddcdd926ee7bd17d,ffaea7bff43dc6ee0430ff7721e4e107ff63e5377288b2dbd9f4c47c23979419,114,ccb63bb3-cf7e-5c58-b0ed-13b75135b29e,C00053955,1000808-25-2,Asiaticin,Asiaticin,asiaticin,1000808-25-2,1000808252,C19H20O4,c19h20o4,ready,,,CHEMBL10642,IWDJIZYURLLLMQ-SNAWJCMRSA-N,CCOc1cc2c(cc1C/C=C/c1ccc(OC)cc1)OCO2,conflict,0.9600
cmpcandm_521dae01449f0f60,cmpcand_56dd4d7942522ea7,8aa1c21aeed507e0711dffa002efed5cf5a07efe45163a903a764b33a592e97e,8e09191e706f89b425caa65b2246baf4e39d1302d0a467150760a13dbb15e3e6,114,ccb63bb3-cf7e-5c58-b0ed-13b75135b29e,C00054351,1000808-26-3,Centellicin,Centellicin,centellicin,1000808-26-3,1000808263,C15H24O5,c15h24o5,ready,,163183805,,STWAKJDZZZKIQR-UEIGIMKUSA-N,,conflict,0.9700
cmpcandm_fa259b7b28874fc9,cmpcand_05897df7a2d30871,73c7b7fd6846ec7d970bdf1137c395fe8845c5ed231ca43d6763bb764955a42d,cca0b76081fc4b0e9e06b70d968041c71289189b928bea0f0d08a5a5adf23f7d,28,fbee525b-bdd7-509d-a45c-6c106896c456,C00056300,1000878-38-5,"6-Hydroxy-1,7-diphenyl-4-hepten-3-one","6-Hydroxy-1,7-diphenyl-4-hepten-3-one",6hydroxy17diphenyl4hepten3one,1000878-38-5,1000878385,C19H20O2,c19h20o2,ready,,,CHEMBL12962,KRUGFYCCHDOKQB-BQYQJAHWSA-N,CC(C)(C)c1cccc(/C=C/c2ccc(C(=O)O)cc2)c1,conflict,0.9600
