disease_key,disease_name_clean,ontology_id,ontology_source,ontology_confidence,standardized_name,ontology_description,ontology_synonyms,ontology_status,ontology_match_method,ontology_query,ontology_cache_hit
type_2_diabetes_mellitus,type 2 diabetes mellitus,DOID_9352,Disease Ontology,0.9,type 2 diabetes mellitus,"A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin.",insulin resistance; non-insulin-dependent diabetes mellitus; type 2 diabetes; type II diabetes mellitus; NIDDM,matched,online_exact,type 2 diabetes mellitus,no
hypertension,hypertension,DOID_10763,Disease Ontology,0.9,hypertension,An artery disease characterized by chronic elevated blood pressure in the arteries.,hyperpiesia; vascular hypertensive disorder; HTN,matched,online_exact,hypertension,no
obesity,obesity,DOID_9970,Disease Ontology,0.9,obesity,"An overnutrition that is characterized by excess body fat, traditionally defined as an elevated ratio of weight to height (specifically 30 kilograms per meter squared), has_material_basis_in a multifactorial etiology related to excess nutrition intake, decreased caloric utilization, and genetic susceptibility, and possibly medications and certain disorders of metabolism, endocrine function, and mental illness.",,matched,online_exact,obesity,no
osteoarthritis,osteoarthritis,DOID_8398,Disease Ontology,0.9,osteoarthritis,An arthritis that has_material_basis_in worn out cartilage located_in joint.,Osteoarthrosis and allied disorder; degenerative arthritis; degenerative joint disease; hypertrophic arthritis; osteoarthrosis,matched,online_exact,osteoarthritis,no
rheumatoid_arthritis,rheumatoid arthritis,DOID_7148,Disease Ontology,0.9,rheumatoid arthritis,An arthritis that is an autoimmune disease which attacks healthy cells and tissue located_in joint.,"Arthritis or polyarthritis, rheumatic; atrophic Arthritis",matched,online_exact,rheumatoid arthritis,no
asthma,asthma,DOID_2841,Disease Ontology,0.9,asthma,"A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing.",bronchial hyperreactivity; chronic obstructive asthma with acute exacerbation; chronic obstructive asthma with status asthmaticus; chronic obstructive asthma,matched,online_exact,asthma,no
copd,copd,DOID_3083,Disease Ontology,0.9,chronic obstructive pulmonary disease,"An obstructive lung disease that is a chronic and progressive disorder of small airways in the lungs and that is characterized by irreversible airflow obstruction, typically identified by reductions in quantitative spirometric indices, induced forced expiratory volume at 1 second (FEV1) and the ratio of FEV1 to forced vital capacity (less than 0.7 is diagnostic of COPD). Lung volume is increased and pulmonary hypertension may occur. The pathologic changes result in the disruption of the airflow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough and chest tightness. COPD is a consequence (an end result) of chronic bronchitis, emphysema or both.",chronic obstructive airway disease; chronic obstructive lung disease; COLD; COPD,matched,online_exact,chronic obstructive pulmonary disease,no
masld,masld,DOID_0080208,Disease Ontology,0.9,metabolic dysfunction-associated steatotic liver disease,"A steatotic liver disease characterized by at least one of five specified cardiometabolic risk factors and no other discernible cause with normal to no alcohol use. The five cardiometabolic risk factors are: (1) higher than normal body mass index or waist circumference; (2) higher than normal serum glucose or glycated hemoglobin level, or type 2 diabetes; (3) higher than normal blood pressure or hypertensive treatment; (4) higher than normal plasma triglycerides or lipid lowering treatment; and (5) lower than normal plasma high-density lipoprotein cholesterol.",metabolic dysfunction-associated fatty liver disease; metabolic dysfunction-related steatotic liver disease; metabolic-associated fatty liver disease; non-alcoholic fatty liver disease; nonalcoholic fatty liver disease; MAFLD; MASLD; NAFLD,matched,online_exact,metabolic dysfunction-associated steatotic liver disease,no
breast_cancer,breast cancer,DOID_1612,Disease Ontology,0.9,breast cancer,An organ system cancer that originates in the mammary gland.,breast tumor; malignant neoplasm of breast; malignant tumor of the breast; mammary cancer; mammary tumor; primary breast cancer,matched,online_exact,breast cancer,no
colorectal_cancer,colorectal cancer,DOID_9256,Disease Ontology,0.9,colorectal cancer,A large intestine cancer that is located_in the colon and/or located_in the rectum.,,matched,online_exact,colorectal cancer,no
