seed_id,disease_name,aliases,disease_group,role,priority,rationale,preferred_ontology_id,preferred_ontology_source,source_reference,notes,disease_name_clean,disease_key,synonym_clean,source_reference_clean,batch_id,source_name,source_url,retrieved_at
D001,Type 2 Diabetes Mellitus,T2DM,metabolic,primary_case_study,1,High global burden and strong fit for multi-target medicinal-plant analysis,,,WHO / IDF,Main thesis case study,type 2 diabetes mellitus,type_2_diabetes_mellitus,t2dm,WHO / IDF,D001,curated_disease_seed,,
D002,Hypertension,High blood pressure,cardiovascular,comparison,2,Major global comorbidity and target-rich disease,,,WHO fact sheet,,hypertension,hypertension,high blood pressure,WHO fact sheet,D001,curated_disease_seed,,
D005,Rheumatoid Arthritis,RA,inflammatory,comparison,5,Autoimmune inflammatory disease with multi-organ effects,,,WHO fact sheet,,rheumatoid arthritis,rheumatoid_arthritis,ra,WHO fact sheet,D001,curated_disease_seed,,
D006,Asthma,Bronchial asthma,respiratory,comparison,6,Common inflammatory respiratory disease,,,WHO / GINA,,asthma,asthma,bronchial asthma,WHO / GINA,D001,curated_disease_seed,,
D007,COPD,Chronic Obstructive Pulmonary Disease,respiratory,comparison,7,High-burden chronic respiratory disease,,,WHO fact sheet,,copd,copd,chronic obstructive pulmonary disease,WHO fact sheet,D001,curated_disease_seed,,
D008,MASLD,Metabolic Dysfunction-Associated Steatotic Liver Disease; NAFLD; Non-Alcoholic Fatty Liver Disease; Fatty Liver,liver/metabolic,comparison,8,Metabolic liver disease linked to obesity and diabetes,,,NIDDK,,masld,masld,metabolic dysfunction-associated steatotic liver disease; nafld; non-alcoholic fatty liver disease; fatty liver,NIDDK,D001,curated_disease_seed,,
D009,Breast Cancer,Mammary carcinoma,cancer,comparison,9,Major oncology case with strong target literature,,,WHO fact sheet,,breast cancer,breast_cancer,mammary carcinoma,WHO fact sheet,D001,curated_disease_seed,,
D010,Colorectal Cancer,Colon cancer; Rectal cancer,cancer,comparison,10,High-burden cancer with rich mechanistic literature,,,IARC / WHO,,colorectal cancer,colorectal_cancer,colon cancer; rectal cancer,IARC / WHO,D001,curated_disease_seed,,
D011,Ischemic Heart Disease,Coronary heart disease; Coronary artery disease; Myocardial ischemia,cardiovascular,comparison,3,High-burden cardiovascular disease with rich target literature,,,WHO fact sheet,,ischemic heart disease,ischemic_heart_disease,coronary heart disease; coronary artery disease; myocardial ischemia,WHO fact sheet,D001,curated_disease_seed,,
D012,Alzheimer's Disease,Alzheimer disease; AD; Late-onset Alzheimer's,neurodegenerative,comparison,4,Major neurodegenerative disease with strong mechanistic literature,,,WHO fact sheet,,alzheimer's disease,alzheimer_s_disease,alzheimer disease; ad; late-onset alzheimer's,WHO fact sheet,D001,curated_disease_seed,,
